"DGIdb drugs","Associated variants","Cancer","Gene_symbol","Consensus_Score","Driver Level","Onco_gene_OncoVar","Ensembl_ID","Entrez_ID","Gene_biotype","AI-DriverGene","P_value","FDR","OncoVar_Score","CGC","OncoKB","MutPanning","2020Rule","CGCPointMut","CTAT","FASMIC","HCD","MouseMut","Oncogene","TSGene","Therapeutic_target_in_PMID_30971826","PMID_29056346","PMID_29056346_collected_known","TCGA_papers","Intogen","DriverDBv3"
"No_drug","Associated Mutations","PanCancer","SPHKAP","10","2","N","ENSG00000153820","80309","protein_coding","N","0.596573590279964","0.596573590279973","0.447711526065277","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","SPRTN","10","2","N","ENSG00000010072","83932","protein_coding","N","0.442800650660465","0.596573590279973","0.447711526065277","N","TSG","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","STRA6","2","2","N","ENSG00000137868","64220","protein_coding","N","0.304389781671212","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","ZKSCAN4","10","2","N","ENSG00000187626","387032","protein_coding","N","0.0373704846981805","0.596573590279973","0.447711526065277","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ZNF14","10","2","N","ENSG00000105708","7561","protein_coding","N","0.0762398477950313","0.596573590279973","0.447711526065277","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","ACVR2B","1","1","N","ENSG00000114739","93","protein_coding","N","0.498240137810535","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y"
"Drugs","Associated Mutations","PanCancer","CD4","1","1","N","ENSG00000268779","920","protein_coding","N","0.226596236039395","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","LTF","1","1","N","ENSG00000012223","4057","protein_coding","N","0.30089778110525","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","TNFRSF10B","1","1","N","ENSG00000120889","8795","protein_coding","N","0.232137256458377","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","AHRR","1","1","N","ENSG00000063438","57491","protein_coding","N","0.300445975536412","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","AKAP12","1","1","N","ENSG00000131016","9590","protein_coding","N","0.270076249514124","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ARHGAP32","1","1","N","ENSG00000134909","9743","protein_coding","N","0.561180261440178","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","BATF2","1","1","N","ENSG00000168062","116071","protein_coding","N","0.500435738503463","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","CST6","1","1","N","ENSG00000175315","1474","protein_coding","N","0.466710771634345","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","DIRAS3","1","1","N","ENSG00000162595","9077","protein_coding","N","0.49754834026095","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","IRF7","1","1","N","ENSG00000185507","3665","protein_coding","N","0.426240572875973","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y"
"No_drug","Associated Mutations","PanCancer","KIF13B","1","1","N","ENSG00000197892","23303","protein_coding","N","0.491110710372667","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","MCM9","1","1","N","ENSG00000111877","254394","protein_coding","N","0.30385065050388","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","MSR1","1","1","N","ENSG00000038945","4481","protein_coding","N","0.272064614350342","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y"
"No_drug","Associated Mutations","PanCancer","MUC20","1","1","N","ENSG00000176945","200958","protein_coding","N","0.205776171393904","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y"
"No_drug","Associated Mutations","PanCancer","PER2","1","1","N","ENSG00000132326","8864","protein_coding","N","0.366876687688708","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","PLA2R1","1","1","N","ENSG00000153246","22925","protein_coding","N","0.438226829794712","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","PRX","1","1","N","ENSG00000105227","57716","protein_coding","N","0.490529525775154","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y"
"No_drug","Associated Mutations","PanCancer","RASGRP1","1","1","N","ENSG00000172575","10125","protein_coding","N","0.425101829758602","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y"
"No_drug","Associated Mutations","PanCancer","RASSF10","1","1","N","ENSG00000189431","644943","pseudogene","N","0.437081337971089","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","SLC26A3","1","1","N","ENSG00000091138","1811","protein_coding","N","0.163166203176242","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y"
"No_drug","Associated Mutations","PanCancer","UNCX","1","1","N","ENSG00000164853","340260","protein_coding","N","0.496538217146104","0.596573590279973","0.447711526065277","N","N","N","N","N","Pssible_Oncogene","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","XIRP2","1","1","N","ENSG00000163092","129446","protein_coding","N","0.596572481243204","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y"
"Drugs","Associated Mutations","PanCancer","AANAT","0","0","N","ENSG00000129673","15","protein_coding","N","0.487903667039317","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","ABCC2","0","0","N","ENSG00000023839","1244","protein_coding","N","0.315689013767937","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","ABCC8","0","0","N","ENSG00000006071","6833","protein_coding","N","0.537135346051162","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","APOB","0","0","N","ENSG00000084674","338","protein_coding","N","0.596573590279973","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","CA6","0","0","N","ENSG00000131686","765","protein_coding","N","0.48930392427601","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","CD38","0","0","N","ENSG00000004468","952","protein_coding","N","0.265991619139078","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","CD80","0","0","N","ENSG00000121594","941","protein_coding","N","0.41716771560028","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","CDC7","0","0","N","ENSG00000097046","8317","protein_coding","N","0.0376676040002933","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","DPEP1","0","0","N","ENSG00000015413","1800","protein_coding","N","0.478742057499487","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Drugs","Associated Mutations","PanCancer","GPR63","0","0","N","ENSG00000112218","81491","protein_coding","N","0.257201165833828","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","GPR84","0","0","N","ENSG00000139572","53831","protein_coding","N","0.219627187997712","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","GPX5","0","0","N","ENSG00000257770","2880","protein_coding","N","0.256872597510587","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","GRM5","0","0","N","ENSG00000168959","2915","protein_coding","N","0.24034861166088","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","HCRTR2","0","0","N","ENSG00000137252","3062","protein_coding","N","0.596495466241601","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","HRH1","0","0","N","ENSG00000196639","3269","protein_coding","N","0.503507649178514","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","IFNAR1","0","0","N","ENSG00000142166","3454","protein_coding","N","0.194464598375978","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","IL3RA","0","0","N","ENSG00000185291","3563","protein_coding","N","0.596573590279973","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","IPO4","0","0","N","ENSG00000196497","79711","protein_coding","N","0.30390811260829","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","KISS1R","0","0","N","ENSG00000116014","84634","protein_coding","N","0.373217266362922","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
